Actual,Late_Probability,Risk_Category
0,0.367,Low Risk
0,0.46,Medium Risk
0,0.278,Low Risk
1,0.413,Medium Risk
0,0.498,Medium Risk
0,0.501,Medium Risk
1,0.998,High Risk
0,0.389,Low Risk
1,0.316,Low Risk
0,0.315,Low Risk
0,0.737,High Risk
1,0.854,High Risk
0,0.359,Low Risk
0,0.374,Low Risk
1,0.54,Medium Risk
1,0.428,Medium Risk
1,0.386,Low Risk
1,0.422,Medium Risk
1,0.997,High Risk
0,0.401,Medium Risk
0,0.426,Medium Risk
1,0.35,Low Risk
1,0.756,High Risk
0,0.324,Low Risk
1,0.391,Low Risk
1,0.345,Low Risk
0,0.397,Low Risk
1,0.849,High Risk
1,0.682,High Risk
1,0.799,High Risk
0,0.329,Low Risk
1,0.997,High Risk
1,0.807,High Risk
0,0.401,Medium Risk
1,0.41,Medium Risk
0,0.228,Low Risk
0,0.365,Low Risk
0,0.394,Low Risk
1,0.818,High Risk
0,0.793,High Risk
0,0.415,Medium Risk
1,0.997,High Risk
1,0.997,High Risk
0,0.359,Low Risk
0,0.37,Low Risk
1,0.807,High Risk
1,0.997,High Risk
0,0.8,High Risk
0,0.322,Low Risk
0,0.404,Medium Risk
1,0.826,High Risk
0,0.276,Low Risk
0,0.388,Low Risk
1,0.997,High Risk
1,0.997,High Risk
0,0.407,Medium Risk
1,0.806,High Risk
0,0.31,Low Risk
1,0.997,High Risk
1,0.408,Medium Risk
1,0.815,High Risk
1,0.997,High Risk
0,0.404,Medium Risk
0,0.353,Low Risk
0,0.334,Low Risk
1,0.437,Medium Risk
0,0.823,High Risk
1,0.832,High Risk
1,0.399,Low Risk
1,0.294,Low Risk
1,0.419,Medium Risk
1,0.534,Medium Risk
1,0.382,Low Risk
0,0.262,Low Risk
0,0.418,Medium Risk
1,0.83,High Risk
0,0.441,Medium Risk
0,0.479,Medium Risk
1,0.842,High Risk
0,0.328,Low Risk
0,0.35,Low Risk
0,0.542,Medium Risk
1,0.405,Medium Risk
1,0.845,High Risk
1,0.835,High Risk
0,0.4,Low Risk
0,0.322,Low Risk
1,0.381,Low Risk
0,0.373,Low Risk
1,0.639,High Risk
0,0.539,Medium Risk
0,0.483,Medium Risk
1,0.356,Low Risk
1,0.997,High Risk
0,0.348,Low Risk
0,0.744,High Risk
0,0.79,High Risk
0,0.317,Low Risk
0,0.33,Low Risk
0,0.371,Low Risk
1,0.39,Low Risk
1,0.399,Low Risk
0,0.429,Medium Risk
1,0.811,High Risk
1,0.766,High Risk
1,0.39,Low Risk
0,0.319,Low Risk
0,0.403,Medium Risk
1,0.792,High Risk
0,0.387,Low Risk
1,0.732,High Risk
1,0.294,Low Risk
0,0.81,High Risk
1,0.997,High Risk
0,0.375,Low Risk
1,0.355,Low Risk
1,0.413,Medium Risk
1,0.494,Medium Risk
1,0.996,High Risk
0,0.391,Low Risk
1,0.387,Low Risk
